site,location_dms,pixels_averaged,feo_wt_pct,tio2_wt_pct,al2o3_wt_pct,cao_wt_pct,mgo_wt_pct,r415,r750,r900,r950,r1000
Apollo11,"23°29'13.201""E, 0°43'31.445""N",3x3,15.8,7.5,13.45,12.01,7.81,0.0617,0.0925,0.0858,0.0979,0.0999
Apollo12,"23°18'47.150""W, 2°59'20.396""S",4x4,15.4,3.1,13.86,10.58,9.66,0.0701,0.1158,0.1184,0.1187,0.1230
Apollo14-LM,"342°36'13.68""E, 3°40'21.36""S",2x2,10.5,1.73,17.69,10.02,9.52,0.0805,0.1371,0.1420,0.1440,0.1490
Apollo14-Cone,"342°38'45.24""E, 3°39'21.6""S",1,10.3,1.6,17.5,11,9.6,0.0815,0.1366,0.1432,0.1442,0.1493
Apollo15LM,"3°40'27.829""E, 26°8'18.264""N",1,15,1.9,14.45,10.25,10.65,0.0728,0.1274,0.1310,0.1338,0.1378
Apollo15S1,"3°38'36.264""E, 26°2'2.056""N",1,16.8,1.6,13.15,10.58,10.81,0.0764,0.1330,0.1365,0.1388,0.1431
Apollo15S2,"3°37'32.163""E, 26°0'47.166""N",1,11.5,1.3,17.52,11.75,10.54,0.0863,0.1481,0.1523,0.1561,0.1613
Apollo15S4,"3°42'3.796""E, 26°2'7.78""N",1,16.6,1.2,13.22,10.46,11.19,0.0747,0.1291,0.1326,0.1332,0.1391
Apollo15S6,"3°43'4.412""E, 25°58'40.816""N",1,12.1,1.5,16.47,11.29,10.51,0.0811,0.1404,0.1459,0.1500,0.1543
Apollo15S7,"3°42'23.046""E, 25°59'24.001""N",1,13.9,1.1,15.92,10.12,11.17,0.0779,0.1365,0.1409,0.1454,0.1485
Apollo15S8,"3°40'12.003""E, 26°8'32.65""N",1,15.2,1.7,14.46,10.38,10.35,0.0721,0.1261,0.1305,0.1332,0.1378
Apollo15S9,"3°36'40.624""E, 26°8'15.682""N",1,16.9,1.8,12.54,10.31,10.98,0.0733,0.1250,0.1241,0.1237,0.1270
Apollo15S9a,"3°36'14.784""E, 26°8'15.493""N",1,20.4,2,10.31,9.39,11.36,0.0774,0.1305,0.1224,0.1211,0.1249
Apollo16LM,"15°30'37.8""E, 8°57'17.28""S",1,5.6,0.6,27.6,15.42,5.7,0.1257,0.2013,0.2114,0.2145,0.2218
Apollo16S1,"15°27'43.2""E, 8°57'17.28""S",1,5.4,0.6,26.6,15.6,6.1,0.1305,0.2045,0.2165,0.2196,0.2260
Apollo16S2,"15°28'46.92""E, 8°57'17.28""S",1,5.5,0.6,27,15.6,6,0.1380,0.2148,0.2259,0.2295,0.2342
Apollo16S4,"15°30'32.4""E, 9°4'46.56""S",1,4.6,0.5,27.6,15.7,5.4,0.1281,0.2049,0.2157,0.2202,0.2268
Apollo16S5,"15°30'53.64""E, 9°3'33.12""S",1,5.9,0.7,26.2,15.1,6.2,0.1235,0.1983,0.2093,0.2144,0.2192
Apollo16S6,"15°30'0.72""E, 9°3'17.64""S",1,6.0,0.7,27.1,16.4,6.9,0.1318,0.2049,0.2171,0.2219,0.2267
Apollo16S8,"15°28'46.92""E, 9°2'35.88""S",1,5.4,0.6,26.5,15.4,6.2,0.1442,0.2211,0.2319,0.2364,0.2427
Apollo16S9,"15°29'29.04""E, 9°2'4.56""S",1,5.7,0.6,26.3,15.5,6.3,0.1297,0.2026,0.2141,0.2180,0.2242
Apollo16S11,"15°30'48.24""E, 8°48'19.44""S",1,4.2,0.4,28.6,16.7,4.5,0.1756,0.2608,0.2689,0.2762,0.2820
Apollo16S13,"15°31'19.92""E, 8°49'48.00""S",1,4.8,0.5,27.7,15.8,5.32,0.1546,0.2340,0.2456,0.2487,0.2547
Apollo17LM,"30°44'30.48""E, 20°11'31.92""N",1,16.6,8.5,12.1,11.1,9.8,0.0699,0.1079,0.1127,0.1143,0.1183
Apollo17S1,"30°45'10.8""E, 20°9'21.6""N",1,17.8,9.6,10.9,10.8,9.6,0.0734,0.1111,0.1126,0.1137,0.1160
Apollo17S2,"30°29'46.32""E, 20°5'54.6""N",1,8.7,1.5,20.7,12.8,9.9,0.1110,0.1748,0.1827,0.1859,0.1925
