# 
# This is data from Figure 6, Lawrence et al., 2022, submitted.
#        MAPLON        MAPLAT          HMAP
     -179.7500     -89.75000      88.90607
     -179.2500     -89.75000      88.90570
     -178.7500     -89.75000      88.90533
     -178.2500     -89.75000      88.90631
     -177.7500     -89.75000      88.90588
     -177.2500     -89.75000      88.90552
     -176.7500     -89.75000      88.90521
     -176.2500     -89.75000      88.90479
     -175.7500     -89.75000      88.90320
     -175.2500     -89.75000      88.90277
     -174.7500     -89.75000      88.90118
     -174.2500     -89.75000      88.90088
     -173.7500     -89.75000      88.89783
     -173.2500     -89.75000      88.89752
     -172.7500     -89.75000      88.89575
     -172.2500     -89.75000      88.89282
     -171.7500     -89.75000      88.89252
     -171.2500     -89.75000      88.88947
     -170.7500     -89.75000      88.88782
     -170.2500     -89.75000      88.88483
     -169.7500     -89.75000      88.88190
     -169.2500     -89.75000      88.88025
     -168.7500     -89.75000      88.87726
     -168.2500     -89.75000      88.87549
     -167.7500     -89.75000      88.87128
     -167.2500     -89.75000      88.86963
     -166.7500     -89.75000      88.86664
     -166.2500     -89.75000      88.86237
     -165.7500     -89.75000      88.86078
     -165.2500     -89.75000      88.85626
     -164.7500     -89.75000      88.85468
     -164.2500     -89.75000      88.85046
     -163.7500     -89.75000      88.84741
     -163.2500     -89.75000      88.84583
     -162.7500     -89.75000      88.84155
     -162.2500     -89.75000      88.83850
     -161.7500     -89.75000      88.83429
     -161.2500     -89.75000      88.83124
     -160.7500     -89.75000      88.82690
     -160.2500     -89.75000      88.82526
     -159.7500     -89.75000      88.82239
     -159.2500     -89.75000      88.81934
     -158.7500     -89.75000      88.81641
     -158.2500     -89.75000      88.81213
     -157.7500     -89.75000      88.81042
     -157.2500     -89.75000      88.80615
     -156.7500     -89.75000      88.80450
     -156.2500     -89.75000      88.80292
     -155.7500     -89.75000      88.79987
     -155.2500     -89.75000      88.79694
     -154.7500     -89.75000      88.79388
     -154.2500     -89.75000      88.79230
     -153.7500     -89.75000      88.79059
     -153.2500     -89.75000      88.78888
     -152.7500     -89.75000      88.78729
     -152.2500     -89.75000      88.78558
     -151.7500     -89.75000      88.78394
     -151.2500     -89.75000      88.78223
     -150.7500     -89.75000      88.78192
     -150.2500     -89.75000      88.78027
     -149.7500     -89.75000      88.77991
     -149.2500     -89.75000      88.77954
     -148.7500     -89.75000      88.77924
     -148.2500     -89.75000      88.77881
     -147.7500     -89.75000      88.77991
     -147.2500     -89.75000      88.77954
     -146.7500     -89.75000      88.77924
     -146.2500     -89.75000      88.78137
     -145.7500     -89.75000      88.78107
     -145.2500     -89.75000      88.78326
     -144.7500     -89.75000      88.78424
     -144.2500     -89.75000      88.78656
     -143.7500     -89.75000      88.78888
     -143.2500     -89.75000      88.79108
     -142.7500     -89.75000      88.79468
     -142.2500     -89.75000      88.79700
     -141.7500     -89.75000      88.80188
     -141.2500     -89.75000      88.80420
     -140.7500     -89.75000      88.80640
     -140.2500     -89.75000      88.81396
     -139.7500     -89.75000      88.81628
     -139.2500     -89.75000      88.82373
     -138.7500     -89.75000      88.82739
