id,WKT,mgo,al2o3,sio2,cao,tio2,feo,potassium,thorium,uranium
0,"POLYGON ((-180.0 -90.0, 180.0 -90.0, 180.0 -80.0, -180.0 -80.0, -180.0 -90.0))",7.612500,27.394000,44.900000,16.137000,0.125620,5.181500,427.1800,0.7941,0.2158
1,"POLYGON ((-180.0 -80.0, -135.0 -80.0, -135.0 -60.0, -180.0 -60.0, -180.0 -80.0))",8.836300,22.232000,45.014000,15.223000,0.455280,8.216000,805.5000,1.8242,0.4970
2,"POLYGON ((-135.0 -80.0, -90.0 -80.0, -90.0 -60.0, -135.0 -60.0, -135.0 -80.0))",7.399600,25.775000,44.824000,15.550000,0.135150,5.536600,443.7600,1.0176,0.2768
3,"POLYGON ((-90.0 -80.0, -45.0 -80.0, -45.0 -60.0, -90.0 -60.0, -90.0 -80.0))",6.350300,27.253000,45.109000,15.816000,0.248230,4.495300,252.5300,0.4821,0.1306
4,"POLYGON ((-45.0 -80.0, 0.0 -80.0, 0.0 -60.0, -45.0 -60.0, -45.0 -80.0))",6.606000,28.220000,44.403000,16.435000,0.133580,4.484000,240.7900,0.5563,0.1509
5,"POLYGON ((0.0 -80.0, 45.0 -80.0, 45.0 -60.0, 0.0 -60.0, 0.0 -80.0))",6.824300,27.855000,43.880000,15.960000,0.203950,4.324200,229.6500,0.4555,0.1234
6,"POLYGON ((45.0 -80.0, 90.0 -80.0, 90.0 -60.0, 45.0 -60.0, 45.0 -80.0))",6.985800,26.802000,44.436000,15.854000,0.320790,4.880300,233.0000,0.6102,0.1656
7,"POLYGON ((90.0 -80.0, 135.0 -80.0, 135.0 -60.0, 90.0 -60.0, 90.0 -80.0))",7.485500,27.428000,45.074000,15.871000,0.219930,5.262500,337.9600,0.6663,0.1809
8,"POLYGON ((135.0 -80.0, 180.0 -80.0, 180.0 -60.0, 135.0 -60.0, 135.0 -80.0))",8.536200,25.610000,45.343000,16.307000,0.145800,6.561400,661.4500,1.5306,0.4169
9,"POLYGON ((-180.0 -60.0, -150.0 -60.0, -150.0 -40.0, -180.0 -40.0, -180.0 -60.0))",8.160700,19.624000,46.531000,14.717000,0.807580,9.843400,691.3300,1.4921,0.4063
10,"POLYGON ((-150.0 -60.0, -120.0 -60.0, -120.0 -40.0, -150.0 -40.0, -150.0 -60.0))",6.662100,23.519000,46.249000,15.315000,0.354270,6.334700,515.0200,1.0658,0.2900
11,"POLYGON ((-120.0 -60.0, -90.0 -60.0, -90.0 -40.0, -120.0 -40.0, -120.0 -60.0))",4.577900,26.634000,46.060000,16.202000,0.378830,4.635600,189.5900,0.2174,0.0583
12,"POLYGON ((-90.0 -60.0, -60.0 -60.0, -60.0 -40.0, -90.0 -40.0, -90.0 -60.0))",5.487900,26.933000,45.522000,15.531000,0.490030,5.107800,75.4110,0.1323,0.0351
13,"POLYGON ((-60.0 -60.0, -30.0 -60.0, -30.0 -40.0, -60.0 -40.0, -60.0 -60.0))",6.611300,25.880000,44.726000,16.236000,0.608480,6.518500,290.4800,0.5301,0.1437
14,"POLYGON ((-30.0 -60.0, 0.0 -60.0, 0.0 -40.0, -30.0 -40.0, -30.0 -60.0))",6.847300,27.338000,44.317000,16.539000,0.384990,4.590000,289.8300,0.6327,0.1717
15,"POLYGON ((0.0 -60.0, 30.0 -60.0, 30.0 -40.0, 0.0 -40.0, 0.0 -60.0))",7.116200,25.362000,44.813000,16.172000,0.529770,5.210100,297.8400,0.6666,0.1810
16,"POLYGON ((30.0 -60.0, 60.0 -60.0, 60.0 -40.0, 30.0 -40.0, 30.0 -60.0))",6.491900,28.162000,44.317000,15.887000,0.305150,4.926800,232.0100,0.4234,0.1146
17,"POLYGON ((60.0 -60.0, 90.0 -60.0, 90.0 -40.0, 60.0 -40.0, 60.0 -60.0))",7.201600,24.561000,44.574000,15.733000,0.640140,6.809100,200.0900,0.3733,0.1009
18,"POLYGON ((90.0 -60.0, 120.0 -60.0, 120.0 -40.0, 90.0 -40.0, 90.0 -60.0))",5.775200,26.625000,45.025000,15.362000,0.627960,6.293700,291.4800,0.4829,0.1308
19,"POLYGON ((120.0 -60.0, 150.0 -60.0, 150.0 -40.0, 120.0 -40.0, 120.0 -60.0))",6.406000,26.782000,45.091000,16.852000,0.286620,5.260900,429.0100,0.8288,0.2253
20,"POLYGON ((150.0 -60.0, 180.0 -60.0, 180.0 -40.0, 150.0 -40.0, 150.0 -60.0))",8.533400,22.523000,45.428000,15.373000,0.599370,8.359000,968.8200,2.2421,0.6111
21,"POLYGON ((-180.0 -40.0, -157.5 -40.0, -157.5 -20.0, -180.0 -20.0, -180.0 -40.0))",7.755900,21.394000,45.943000,15.716000,0.589190,8.212600,844.7600,1.8535,0.5050
22,"POLYGON ((-157.5 -40.0, -135.0 -40.0, -135.0 -20.0, -157.5 -20.0, -157.5 -40.0))",7.061600,22.556000,46.415000,16.387000,0.343930,6.272600,438.0500,0.8351,0.2270
23,"POLYGON ((-135.0 -40.0, -112.5 -40.0, -112.5 -20.0, -135.0 -20.0, -135.0 -40.0))",4.285600,27.147000,45.209000,16.614000,0.300270,4.161000,236.5600,0.3777,0.1021
24,"POLYGON ((-112.5 -40.0, -90.0 -40.0, -90.0 -20.0, -112.5 -20.0, -112.5 -40.0))",4.608500,26.570000,44.901000,17.159000,0.408620,4.589700,239.2600,0.2882,0.0777
25,"POLYGON ((-90.0 -40.0, -67.5 -40.0, -67.5 -20.0, -90.0 -20.0, -90.0 -40.0))",5.300400,26.809000,45.442000,15.274000,0.489450,4.723100,164.5600,0.2678,0.0721
26,"POLYGON ((-67.5 -40.0, -45.0 -40.0, -45.0 -20.0, -67.5 -20.0, -67.5 -40.0))",6.927100,24.498000,44.407000,16.666000,0.617410,6.366500,589.9900,1.3368,0.3640
27,"POLYGON ((-45.0 -40.0, -22.5 -40.0, -22.5 -20.0, -45.0 -20.0, -45.0 -40.0))",8.543600,20.804000,42.906000,17.108000,1.835400,10.021000,1111.0000,2.1750,0.5928
